purchase_date;seeding_date;source;number;genus;species;subspecies;variety;cultivar;synonym;form;ex;info;description;;;;;;;;;;;;;;
;;Uwe Beyer;C 188;Lithops ;werneri;;;;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;C 216;Lithops ;julii;fulleri;rouxii;;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;C 294;Lithops ;optica;;;;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;C 351A;Lithops ;salicola;;;Malachite;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;C 352;Lithops ;lesliei;lesliei;lesliei;;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;LC 5B;Lithops ;lesliei;;;Vivid Green;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;L 14-72;Lithops ;julii;fulleri;fulleri;Fullergreen;;;;x L. salicola 'Malachite';Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;L 14-76;Lithops ;karasmontana;karasmontana;karasmontana;;lateritia;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;L 14-79;Lithops ;karasmontana;;;Smokey Peach;;;;;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;L 24-5;Lithops ;marmorata;;;;;;Fritz;pale yellow flower;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Uwe Beyer;LC 65A;Lithops ;karasmontana;karasmontana;karasmontana;;;;;Signalberg form, excellent markings;Заказ семян от 2021-03-04 22:14;;;;;;;;;;;;;;
;;Atomic Plant;C 262;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 367;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 050;Lithops ;hallii;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;otzeniana;;;;Brakfontein;;;(new locvality);;;;;;;;;;;;;;;
;;Atomic Plant;C 362;Lithops ;bromfieldii;;insularis;sulphurea;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 363;Lithops ;fulviceps;;;aurea;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;julii;julii;;Harleqin;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 042;Lithops ;bromfieldii;;insularis;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 206;Lithops ;dinteri;dinteri;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;divergens;;;Steenkampskraalrd;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;SH 531;Lithops ;otzeniana;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 186;Lithops ;schwantesii;schwantesii;urikosensis;;kunjasensis;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 388;Lithops ;steineckeana;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;dorothea;;;;;;AN;pattern sel;;;;;;;;;;;;;;;
;;Atomic Plant;C 412;Lithops ;fulviceps;;laevigata;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 406;Lithops ;gesinae;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 323;Lithops ;julii;fulleri;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;karasmontana;summitatum;;;;;;sel with red top;;;;;;;;;;;;;;;
;;Atomic Plant;PV 227;Lithops ;marmorata;;;;Smorenskadu;;;;;;;;;;;;;;;;;;
;;Atomic Plant;TS 93;Lithops ;olivaceae;;nebrownii;;Aggeneys;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 128;Lithops ;otzeniana;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 077;Lithops ;schwantesii;;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;C 230A;Lithops ;villetii;deboeri;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;karasmontana;bella;;;;;;Aus 2;;;;;;;;;;;;;;;
;;Atomic Plant;;Lithops ;karasmontana;bella;;;;;;"5km s Witputz (compare C295)
";;;;;;;;;;;;;;;
;;Mesa Garden;C 189;Lithops;gracilidelineata;;waldroniae;;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;;Lithops ;olivacea;;nebrownii;Red Olive;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;;Lithops ;optica;;;Rubra F3;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;TOK 76;Lithops ;pseudotruncatella;;;;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;C 101;Lithops ;ruschiorum;;;;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;SB 2279;Lithops ;ruschiorum;;;;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;SB 2181;Lithops ;karasmontana;bella;;;;;;;;;;;;;;;;;;;;;
;;Mesa Garden;C 166;Lithops ;vallismariae;;;margarethae;;;;;;;;;;;;;;;;;;;
06.09.2020;;Губинский;SB623;Conophytum;obcordellum;;;giftbergense;;;;;;;;;;;;;;;;;;;
06.09.2020;;Губинский;;Conophytum;taylorianum;ernianum;;;;;;;;;;;;;;;;;;;;;
;;Atomic Plant;48 SB631;Conophytum;lithopsoides;;;kennedyi;;;;Kangnas or Smorenskadu, green;;;;;;;;;;;;;;;
;;Atomic Plant;86a;Conophytum;obcordellum;;;declinatum;;;;Doringbos;;;;;;;;;;;;;;;
;;Atomic Plant;98f SB635;Conophytum;obcordellum;;;ursprungianum;;;;Lokenburg;;;;;;;;;;;;;;;
;;Atomic Plant;146;Conophytum;pellucidum;;;;;;;10 or 11km n of Concordia;;;;;;;;;;;;;;;
;;Atomic Plant;239 SB1193;Conophytum;obcordellum;;;multicolor;;;;Herrenlogementsberg;;;;;;;;;;;;;;;
;;Atomic Plant;279;Conophytum;obcordellum;;ceresianum;;;;;Knolfontein;;;;;;;;;;;;;;;
;;Atomic Plant;306;Conophytum;;;;;;;;sp nov? s Kosies, a miniature wettsteinii;;;;;;;;;;;;;;;
;;Atomic Plant;10b+c;Conophytum;calculus;;;;;;;Swart se Dam and Middelputs;;;;;;;;;;;;;;;
;;Atomic Plant;CR1340;Conophytum;devium;stiriiferum;;;;;;Gurubes;;;;;;;;;;;;;;;
;;Atomic Plant;40;Conophytum;jucundum;fragile;;;;;;e of Klipbok to n of Eksteenfontein;;;;;;;;;;;;;;;
;;Atomic Plant;74;Conophytum;maughanii;;;;;;;Koeriesberg;;;;;;;;;;;;;;;
;;Atomic Plant;85;Conophytum;minutum;;;;;;;Nuwerus;;;;;;;;;;;;;;;
;;Atomic Plant;87;Conophytum;obcordllum;;;germanum;;;;Het Kruis;;;;;;;;;;;;;;;
;;Atomic Plant;90;Conophytum;obcordellum;;;mundum;;;;Gifberg;;;;;;;;;;;;;;;
;;Atomic Plant;193;Conophytum;tantillum;inexpectatum;;;;;;n Umdaus;;;;;;;;;;;;;;;
;;Atomic Plant;203;Conophytum;uviforme ;decoratum;;;;;;s Bitterfontein 1,80 1;;;;;;;;;;;;;;;
;;Atomic Plant;An 3  ES3249;Anacampseros;rufescens;;;;;;;sw Swellendam;;;;;;;;;;;;;;;
;;Atomic Plant;An 249;Anacampseros;namaquensis ;;;;Houmeb Myn;;;;;;;;;;;;;;;;;;
;;Atomic Plant;An 219;Anacampseros;namaquensis ;;;;Black Face Mountain;;;;;;;;;;;;;;;;;;
;;Atomic Plant;An 123;Anacampseros;namaquensis ;;;;;;;9km n Nama Mine;;;;;;;;;;;;;;;
;;Atomic Plant;An 86;Anacampseros;namaquensis ;;;;;;;Tierberg (Garies);;;;;;;;;;;;;;;
;;Atomic Plant;An 5;Anacampseros;lancifolia ;;;;;;;nom prov s Clanwilliam, DT2487;;;;;;;;;;;;;;;
;;Atomic Plant;An 92;Anacampseros;lanceolata ;;;;;;;w Kosies;;;;;;;;;;;;;;;
